,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,chapais,90,CA,1569459446,87,49.78,-74.86,50.0,13.87
1,nelson bay,32,CA,1569459446,36,49.49,-117.29,57.19,3.42
2,hermanus,0,ZA,1569459446,68,-34.42,19.24,66.99,10.0
3,tsuyama,0,JP,1569459447,64,35.14,134.03,71.6,5.82
4,taywarah,0,AF,1569459447,22,33.35,64.42,53.82,6.38
5,derzhavinsk,0,KZ,1569459448,62,51.1,66.31,38.42,3.62
6,vaini,75,IN,1569459448,94,15.34,74.49,71.6,6.93
7,esperance,98,AU,1569459449,77,-33.86,121.89,60.8,8.19
8,beringovskiy,100,RU,1569459449,77,63.05,179.32,39.89,15.86
9,bara,64,NG,1569459259,90,10.41,10.6,75.55,7.87
10,port elizabeth,85,CD,1569459450,55,-7.04,29.76,67.49,3.29
11,bandarbeyla,0,SO,1569459451,73,9.49,50.81,74.02,13.69
12,ushuaia,75,AR,1569459452,69,-54.81,-68.31,39.2,11.41
13,barstow,1,US,1569459452,31,31.46,-103.39,93.2,6.93
14,tilichiki,100,RU,1569459452,83,60.47,166.1,47.74,7.81
15,barrow,42,AR,1569459453,68,-38.31,-60.23,57.48,7.76
16,avarua,75,CK,1569459373,74,-21.21,-159.78,78.8,12.75
17,yatou,75,CM,1569459454,100,3.63,9.81,77.0,3.36
18,georgetown,40,GY,1569459359,79,6.8,-58.16,84.2,6.93
19,shihezi,5,CN,1569459455,42,44.3,86.03,68.73,6.91
20,east london,99,UG,1569459455,95,3.43,31.7,67.38,1.21
21,punta arenas,20,PH,1569459455,70,14.18,121.12,88.0,2.24
22,adelanto,1,US,1569459456,45,34.58,-117.41,93.2,11.41
23,tezu,7,IN,1569459456,81,27.93,96.16,67.45,1.97
24,champerico,90,MX,1569459456,74,16.38,-93.6,82.4,3.29
25,busselton,81,AU,1569459457,93,-33.64,115.35,59.0,3.0
26,bud,0,NO,1569459457,93,62.91,6.91,48.2,8.05
27,saldanha,84,PT,1569459196,74,41.42,-6.55,57.73,3.31
28,fortuna,0,ES,1569459458,88,38.18,-1.13,72.0,3.36
29,triunfo,0,BR,1569459459,88,-29.94,-51.72,64.4,8.05
30,pimenta bueno,72,BR,1569459459,88,-20.48,-45.8,64.28,2.1
31,yellowknife,40,CA,1569459460,80,62.45,-114.38,41.0,8.05
32,gejiu,100,CN,1569459460,98,23.36,103.16,52.62,3.51
33,hobart,20,AU,1569459199,47,-42.88,147.33,59.0,16.11
34,butaritari,15,KI,1569459461,76,3.07,172.79,83.69,18.39
35,ponta do sol,96,BR,1569459462,80,-0.53,-65.05,77.3,2.1
36,beloha,66,MG,1569459462,75,-25.17,45.06,64.55,16.37
37,cidreira,0,BR,1569459463,93,-30.17,-50.22,62.07,6.96
38,codrington,90,AU,1569459464,57,-28.95,153.24,75.2,9.17
39,mataura,100,NZ,1569459463,91,-46.19,168.86,48.99,18.01
40,saint-philippe,1,CA,1569459465,87,45.36,-73.48,64.0,5.82
41,thompson,20,CA,1569459466,36,55.74,-97.86,48.2,12.75
42,touros,20,BR,1569459186,78,-5.2,-35.46,75.2,5.82
43,clyde river,99,NZ,1569459466,53,-45.19,169.32,48.99,5.01
44,tiksi,84,RU,1569459467,81,71.64,128.87,35.95,8.55
45,tuatapere,100,NZ,1569459467,91,-46.13,167.69,48.99,18.01
46,bathsheba,40,BB,1569459467,78,13.22,-59.52,82.4,8.05
47,bredasdorp,0,ZA,1569459468,93,-34.53,20.04,57.99,6.93
48,west bay,5,US,1569459420,43,31.8,-97.09,91.4,8.52
49,hilo,20,US,1569459468,55,19.71,-155.08,87.8,8.05
50,mahebourg,40,MU,1569459469,94,-20.41,57.7,69.01,5.82
51,kudahuvadhoo,100,MV,1569459469,65,2.67,72.89,82.61,4.74
52,qaanaaq,93,GL,1569459470,76,77.48,-69.36,18.22,10.71
53,sao jose da coroa grande,100,IN,1569459470,95,20.51,76.21,72.06,11.48
54,nikolskoye,75,RU,1569459470,95,59.7,30.79,35.01,4.47
55,nanortalik,0,GL,1569459471,83,60.14,-45.24,41.55,1.12
56,longyearbyen,75,NO,1569459471,93,78.22,15.63,35.6,9.17
57,lompoc,1,US,1569459344,35,34.64,-120.46,86.0,8.05
58,sabinas hidalgo,72,MX,1569459472,54,27.85,-101.13,85.76,4.68
59,lebu,79,ET,1569459472,84,8.96,38.73,56.2,4.14
60,torbay,90,CA,1569459473,93,47.66,-52.73,52.0,14.99
61,tautira,40,PF,1569459474,66,-17.73,-149.15,84.2,11.41
62,atuona,41,PF,1569459474,76,-9.8,-139.03,79.73,18.54
63,grindavik,75,IS,1569459475,87,63.84,-22.43,55.4,11.41
64,poum,33,MK,1569459475,84,41.28,20.71,49.69,0.69
65,high rock,1,US,1569459476,62,33.61,-95.75,89.01,5.82
66,kloulklubed,75,PW,1569459476,74,7.04,134.26,84.2,11.41
67,akhtanizovskaya,90,RU,1569459476,100,45.32,37.1,51.8,6.71
68,puerto ayora,0,AR,1569459477,48,-51.62,-69.23,44.6,20.8
69,aksaray,40,TR,1569459477,82,38.37,34.03,59.0,8.05
70,lamu,0,CN,1569459477,76,35.77,102.37,44.46,1.7
71,ceres,94,BR,1569459478,34,-15.31,-49.6,81.24,2.98
72,charlton,1,US,1569459246,72,42.14,-71.97,61.0,4.7
73,sao filipe,100,IN,1569459479,95,20.51,76.21,72.06,11.48
74,hovd,0,NO,1569459479,93,63.83,10.7,54.0,6.93
75,albany,40,US,1569459480,93,42.65,-73.75,64.99,4.7
76,kulhudhuffushi,100,MV,1569459480,81,6.62,73.07,80.72,15.14
77,marshall,1,US,1569459347,74,32.54,-94.37,90.0,5.01
78,trairi,26,BR,1569459482,84,-3.28,-39.27,73.26,6.55
79,broome,67,GB,1569459482,100,52.47,1.45,61.0,8.05
80,dikson,97,RU,1569459483,93,73.51,80.55,35.43,10.87
81,hodasz,99,HU,1569459483,93,47.92,22.2,59.0,3.36
82,zhezkazgan,100,KZ,1569459484,63,47.8,67.71,46.46,11.03
83,ostrovnoy,96,RU,1569459484,82,68.05,39.51,35.1,13.02
84,siocon,33,PH,1569459484,76,11.03,124.04,82.7,4.94
85,kavieng,99,PG,1569459485,75,-2.57,150.8,82.97,9.24
86,vanino,51,RU,1569459485,83,53.93,40.55,30.99,5.3
87,pevek,38,RU,1569459486,72,69.7,170.27,34.04,7.65
88,biak,24,ID,1569459486,77,-0.91,122.88,69.25,4.41
89,bonthe,100,SL,1569459487,89,7.53,-12.5,77.68,6.82
90,northam,75,AU,1569459487,72,-31.65,116.67,62.6,5.82
91,jamestown,0,AU,1569459266,33,-33.21,138.6,67.16,8.12
92,jining,7,CN,1569459488,66,35.41,116.58,68.84,6.98
93,karpathos,0,GR,1569459488,83,35.51,27.21,69.8,13.87
94,honningsvag,100,NO,1569459489,94,70.98,25.97,45.11,14.97
95,kapaa,90,US,1569459490,83,22.08,-159.32,84.2,12.75
96,glyadyanskoye,0,RU,1569459490,84,54.91,65.09,31.7,7.16
97,chokurdakh,47,RU,1569459491,71,70.62,147.9,28.95,8.28
98,tyukhtet,100,RU,1569459491,78,56.54,89.31,36.96,6.42
99,ribeira grande,75,PT,1569459492,100,41.76,-8.56,64.0,4.7
100,saint-augustin,75,CA,1569459492,82,45.63,-73.98,63.0,4.7
101,castro,0,CL,1569459492,100,-42.48,-73.76,50.0,9.17
102,rikitea,0,PF,1569459493,63,-23.12,-134.97,72.11,4.59
103,saskylakh,66,RU,1569459494,92,71.97,114.09,34.87,6.33
104,sitka,78,US,1569459482,72,37.17,-99.65,79.0,10.0
105,hualmay,86,PE,1569459494,93,-11.1,-77.61,61.64,12.66
106,banikoara,70,BJ,1569459495,86,11.3,2.44,76.81,4.12
107,saint-francois,90,FR,1569459495,100,46.42,3.91,59.0,3.36
108,mango,100,CF,1569459496,98,4.65,22.36,70.82,1.83
109,lasa,20,CY,1569459496,78,34.92,32.53,75.2,5.82
110,klaksvik,100,FO,1569459496,100,62.23,-6.59,51.8,31.09
111,yumen,0,CN,1569459497,24,40.29,97.04,60.02,5.14
112,morros,40,BR,1569459497,83,-2.87,-44.04,78.8,10.29
113,alugan,29,PH,1569459498,72,12.22,125.48,84.62,1.41
114,guntur,90,IN,1569459498,94,16.29,80.45,78.8,8.39
115,tazovskiy,100,RU,1569459499,95,67.47,78.7,35.1,15.14
116,leningradskiy,89,RU,1569459499,83,69.38,178.42,31.04,5.66
117,lopukhiv,100,UA,1569459500,99,48.37,23.97,51.59,2.95
118,kaitangata,98,NZ,1569459500,71,-46.28,169.85,48.0,23.0
119,siva,20,GR,1569459501,88,35.21,25.04,73.0,5.82
120,kenai,1,US,1569459501,32,60.55,-151.26,53.6,16.11
121,camacha,40,PT,1569459502,68,33.08,-16.33,71.6,9.17
122,sao joao da barra,100,IN,1569459479,95,20.51,76.21,72.06,11.48
123,guerrero negro,0,AR,1569459503,40,-24.19,-65.45,68.0,0.98
124,ketchikan,75,US,1569459503,87,55.34,-131.65,51.8,3.36
125,valparaiso,1,US,1569459503,64,41.47,-87.06,75.2,5.82
126,new norfolk,75,LR,1569459255,94,6.65,-10.59,77.0,7.05
127,kodiak,75,US,1569459504,68,39.95,-94.76,71.6,8.05
128,bluff,65,AU,1569459505,57,-23.58,149.07,73.52,13.04
129,arraial do cabo,75,BR,1569459505,77,-22.84,-46.65,69.01,6.93
130,carnarvon,0,ZA,1569459505,9,-30.97,22.13,53.39,9.95
131,tasiilaq,33,GL,1569459506,86,65.61,-37.64,41.0,5.99
132,cam ranh,0,AR,1569459506,40,-38.98,-67.82,71.6,5.82
133,cape town,55,CL,1569459507,60,-36.41,-71.9,68.0,6.93
134,chuy,33,UY,1569459507,77,-33.69,-53.46,59.04,8.08
135,nome,1,US,1569459508,69,30.04,-94.42,82.0,6.26
136,kalianget,62,ID,1569459508,62,-7.35,109.91,84.2,8.05
137,belmonte,62,PT,1569459509,75,40.36,-7.35,55.0,2.71
138,victoria,75,BN,1569459509,66,5.28,115.24,86.0,4.7
139,cabo san lucas,57,ES,1569459510,87,43.18,-5.8,61.0,3.36
140,san patricio,8,ML,1569459510,53,13.3,-4.9,82.34,8.88
141,san cristobal,8,ML,1569459249,53,13.3,-4.9,82.34,8.88
142,fort saint john,100,IN,1569459511,96,17.96,79.61,74.04,6.85
143,koltubanovskiy,41,RU,1569459511,79,52.94,52.03,35.09,2.21
144,bambous virieux,40,MU,1569459512,94,-20.26,57.41,69.01,5.82
145,winnemucca,0,US,1569459512,24,40.97,-117.74,73.99,8.99
146,port alfred,85,CD,1569459513,55,-7.04,29.76,67.49,3.29
147,sibolga,94,ID,1569459513,84,1.74,98.78,79.66,8.3
148,sunyani,50,GH,1569459514,95,7.34,-2.33,71.79,4.45
149,shu,60,KZ,1569459514,37,43.6,73.76,62.45,3.8
150,kirkwall,100,GB,1569459515,100,58.98,-2.96,55.99,18.34
151,boguchany,71,RU,1569459515,91,58.38,97.46,32.39,1.45
152,norman wells,1,US,1569459293,62,35.22,-97.44,89.01,10.29
153,necochea,72,AR,1569459516,80,-38.55,-58.74,50.0,5.44
154,ancud,0,CL,1569459516,100,-41.87,-73.83,50.0,9.17
155,bajo baudo,12,BT,1569459517,87,27.49,89.9,41.84,3.24
156,sulangan,45,PH,1569459517,74,11.14,123.72,83.22,7.0
157,san javier,8,ML,1569459249,53,13.3,-4.9,82.34,8.88
158,lakes entrance,90,US,1569459518,36,37.5,-83.94,78.8,3.36
159,naze,100,NG,1569459245,97,5.43,7.07,74.0,2.35
160,manacor,20,ES,1569459518,88,39.57,3.21,71.01,3.31
161,salalah,40,OM,1569459519,83,17.01,54.1,80.6,8.05
162,jumla,94,NP,1569459519,90,29.28,82.18,51.12,0.92
163,padang,57,ID,1569459520,86,-0.92,100.36,78.31,8.99
164,maldonado,0,UY,1569459520,77,-34.91,-54.96,60.8,4.7
165,airai,0,TL,1569459521,49,-8.93,125.41,83.63,2.06
166,tuktoyaktuk,75,CA,1569459474,80,69.44,-133.03,41.0,2.24
167,sambava,20,MG,1569459521,92,-14.27,50.17,63.6,3.04
168,vanimo,38,PG,1569459522,73,-2.67,141.3,83.04,8.37
169,horta,40,BR,1569459522,83,-10.93,-37.66,78.8,10.29
170,rio gallegos,40,US,1569459523,63,41.11,-90.4,69.01,4.7
171,markova,90,RU,1569459523,93,52.21,104.21,51.8,11.18
172,marsa matruh,0,FR,1569459523,72,42.82,2.16,68.0,8.05
173,poronaysk,0,RU,1569459524,45,49.22,143.1,51.95,14.34
174,soe,0,EE,1569459524,86,57.91,26.05,37.0,3.27
175,acajutla,75,SV,1569459524,100,13.59,-89.83,75.2,18.07
176,mar del plata,0,CN,1569459525,43,29.86,90.73,29.51,2.68
177,dutse,56,NG,1569459525,58,11.76,9.34,78.94,10.2
178,carman,1,CA,1569459524,62,49.51,-98.0,53.6,5.82
179,plock,75,PL,1569459526,100,52.55,19.71,55.4,1.12
180,upernavik,99,GL,1569459526,66,72.79,-56.15,33.43,9.46
181,dumas,75,IN,1569459527,94,21.09,72.71,78.8,13.11
182,douentza,56,ML,1569459527,29,15.01,-2.95,89.48,6.26
183,half moon bay,75,LR,1569459527,94,6.38,-10.7,77.0,7.05
184,dombarovskiy,0,RU,1569459528,75,50.76,59.54,35.48,2.24
185,myanaung,99,MM,1569459528,91,18.28,95.32,71.7,3.38
186,mitsamiouli,0,KM,1569459529,80,-11.38,43.28,77.6,25.93
187,hay river,68,AU,1569459529,47,-34.51,144.84,61.08,5.53
188,andilamena,10,MG,1569459529,95,-17.01,48.57,56.74,3.38
189,olinda,20,AU,1569459530,62,-37.84,145.39,64.0,5.82
190,peniche,20,PT,1569459530,88,39.36,-9.38,62.6,11.41
191,central point,1,US,1569459531,73,34.73,-82.78,82.4,3.36
192,santo domingo,64,EC,1569459531,86,-0.59,-80.0,69.83,6.51
193,berlevag,100,NO,1569459532,92,70.86,29.09,44.05,0.94
194,kintampo,72,GH,1569459532,93,8.05,-1.73,74.52,3.47
195,along,92,IN,1569459520,98,28.17,94.8,55.3,0.76
196,xichang,22,CN,1569459533,91,27.88,102.25,45.6,2.13
197,tigil,100,RU,1569459247,80,57.8,158.67,45.49,32.32
198,swan river,90,US,1569459534,59,41.47,-93.31,64.4,5.82
199,capaci,0,IT,1569459534,73,38.17,13.24,73.0,5.82
200,lander,1,US,1569459535,38,42.83,-108.73,66.2,6.93
201,port blair,85,CD,1569459513,55,-7.04,29.76,67.49,3.29
202,homer,1,US,1569459535,50,59.64,-151.54,51.8,11.41
203,zaozerne,100,UA,1569459536,97,51.37,23.94,56.02,4.81
204,sept-iles,90,CA,1569459536,100,50.2,-66.38,46.99,2.24
205,gayny,94,RU,1569459537,93,60.3,54.33,33.95,8.32
206,provideniya,20,RU,1569459537,68,64.42,-173.23,42.8,2.24
207,faanui,71,PF,1569459538,78,-16.48,-151.75,79.33,14.76
208,mys shmidta,100,RU,1569459538,91,62.06,48.62,33.66,9.35
209,alta floresta,90,NO,1569459538,87,69.97,23.27,48.99,16.11
210,kruisfontein,0,ZA,1569459539,43,-34.0,24.73,53.1,6.76
211,bay-khaak,47,RU,1569459539,86,51.16,94.47,44.99,1.81
212,huarmey,72,PE,1569459540,93,-10.07,-78.15,61.64,12.84
213,pisco,0,PE,1569459540,88,-13.71,-76.2,62.6,16.11
214,adjumani,99,UG,1569459541,95,3.38,31.79,67.38,1.21
215,mbarara,98,UG,1569459541,89,-0.61,30.65,60.84,5.32
216,kieta,83,PG,1569459542,76,-6.22,155.63,82.19,6.31
217,lavrentiya,0,RU,1569459543,70,65.58,-170.99,35.93,4.52
218,saint-pierre,90,FR,1569459543,100,48.95,4.24,60.01,10.29
219,salvador,75,BR,1569459544,88,-12.98,-38.48,73.4,2.24
220,ahipara,79,NZ,1569459544,89,-35.17,173.16,59.0,28.66
221,zinder,45,NE,1569459545,16,13.81,8.99,90.6,5.44
222,hithadhoo,100,MV,1569459545,73,-0.6,73.08,82.86,10.16
223,gernsheim,40,DE,1569459545,93,49.75,8.49,57.99,5.82
224,tokmak,93,UA,1569459546,36,47.26,35.7,46.03,5.79
225,shache,0,CN,1569459546,71,38.42,77.24,66.99,4.23
226,praia da vitoria,75,BR,1569459547,82,-20.25,-43.81,60.8,12.75
227,geraldton,40,CA,1569459547,93,49.72,-86.95,48.2,5.82
228,pangnirtung,85,CA,1569459547,53,66.15,-65.72,36.02,4.74
229,husavik,98,CA,1569459548,66,50.56,-96.99,52.0,11.81
230,jiancheng,40,CN,1569459548,82,30.39,104.55,72.0,2.24
231,severo-kurilsk,99,RU,1569459549,82,50.68,156.12,49.13,38.41
232,novo aripuana,20,CU,1569459549,74,22.78,-82.23,78.8,5.82
233,nabire,74,ID,1569459550,94,-3.36,135.5,74.74,1.68
234,antofagasta,90,CL,1569459551,76,-23.65,-70.4,57.2,14.99
235,sorong,68,ID,1569459551,84,-0.86,131.25,80.3,6.22
236,pauini,39,BR,1569459552,66,-7.71,-67.0,80.57,3.58
237,maine-soroa,98,NE,1569459552,27,13.21,12.02,92.13,4.5
238,westport,1,US,1569459268,68,41.14,-73.36,70.0,6.93
239,fare,89,PF,1569459468,81,-16.7,-151.02,78.38,14.07
240,reconquista,0,AR,1569459496,49,-29.14,-59.64,64.66,5.14
241,constitucion,90,MX,1569459554,59,23.99,-104.67,64.4,8.05
242,oranjemund,0,ZA,1569459554,36,-28.55,16.43,71.18,13.65
243,auki,26,NG,1569459555,74,12.18,6.51,76.67,8.25
244,iqaluit,75,CA,1569459555,75,63.75,-68.52,41.0,19.46
245,canberra,75,AU,1569459531,58,-35.3,149.1,60.01,6.93
246,buala,20,SB,1569459556,71,-8.15,159.59,83.63,8.59
247,jutai,100,BR,1569459556,96,-1.71,-47.89,74.67,5.08
248,gat,20,SN,1569459556,88,14.69,-16.54,80.6,5.82
249,yulara,3,AU,1569459489,46,-25.24,130.99,69.8,8.05
250,souillac,75,FR,1569459557,88,45.6,-0.6,64.4,11.41
251,xudat,100,AZ,1569459557,90,41.63,48.68,56.6,2.64
252,dudinka,75,RU,1569459558,100,69.41,86.18,33.8,11.18
253,punta de bombon,20,PH,1569459558,70,14.18,121.12,88.0,2.24
254,fort nelson,100,IN,1569459559,96,17.96,79.61,74.04,6.85
255,bolobo,98,CD,1569459560,96,-2.17,16.23,69.99,2.39
256,ihiala,100,NG,1569459560,98,5.86,6.86,74.34,2.75
257,tanout,31,NE,1569459561,13,14.97,8.88,91.23,7.83
258,sunnyside,100,CA,1569459561,1,47.86,-53.92,52.0,7.85
259,bhag,0,PK,1569459561,43,29.04,67.82,87.12,2.28
260,katsuura,20,JP,1569459562,73,33.93,134.5,79.0,3.36
261,sinnamary,2,GF,1569459562,75,5.38,-52.96,82.3,14.76
262,virginia beach,1,US,1569459393,68,39.95,-90.21,73.99,3.36
263,lagoa,0,PT,1569459491,64,37.14,-8.45,68.0,4.7
